ID,FIPS Code,Geographic Area Description,Enterprise Employment Size,Number of Firms,Number of Establishments,Employment,Employment Noise Flag,"Annual Payroll",Annual Payroll Noise Flag
141,18,Indiana,06:  20-99,11090,14639,407307,G,14426622,G
142,18,Indiana,07:  100-499,2976,8622,366335,G,14054334,G
143,18,Indiana,08:  <500,105462,115580,1168837,G,40964843,G
144,18,Indiana,09:  500+,3092,27935,1387142,G,62169507,G
145,19,Iowa,01:  Total,62453,80581,1305216,G,50343119,G
146,19,Iowa,02:  0-4,35963,36007,61305,G,1960960,G
147,19,Iowa,03:  5-9,10670,10816,70001,G,2080305,G
148,19,Iowa,04:  10-19,6638,7137,88090,G,2746503,G
149,19,Iowa,05:  <20,53271,53960,219396,G,6787768,G
150,19,Iowa,06:  20-99,5750,8625,214044,G,7444301,G
151,19,Iowa,07:  100-499,1600,5459,199830,G,7810023,G
152,19,Iowa,08:  <500,60621,68044,633270,G,22042092,G
153,19,Iowa,09:  500+,1832,12537,671946,G,28301027,G
154,20,Kansas,01:  Total,58068,73816,1150401,G,47715601,G
155,20,Kansas,02:  0-4,32856,32893,56528,G,1883035,G
156,20,Kansas,03:  5-9,9917,10035,65022,G,1993333,G
157,20,Kansas,04:  10-19,6088,6411,80632,G,2724505,G
158,20,Kansas,05:  <20,48861,49339,202182,G,6600873,G
159,20,Kansas,06:  20-99,5490,7706,201085,G,7271301,G
160,20,Kansas,07:  100-499,1644,4516,193012,G,7746320,G
161,20,Kansas,08:  <500,55995,61561,596279,G,21618494,G
162,20,Kansas,09:  500+,2073,12255,554122,G,26097107,G
163,21,Kentucky,01:  Total,68574,90675,1507375,G,57541159,G
164,21,Kentucky,02:  0-4,38220,38263,66520,G,2083701,G
165,21,Kentucky,03:  5-9,12143,12274,80139,G,2305776,G
166,21,Kentucky,04:  10-19,7441,7855,99093,G,3061764,G
167,21,Kentucky,05:  <20,57804,58392,245752,G,7451241,G
168,21,Kentucky,06:  20-99,6548,8803,236337,G,8155871,G
169,21,Kentucky,07:  100-499,1808,5245,206451,G,7437636,G
170,21,Kentucky,08:  <500,66160,72440,688540,G,23044748,G
171,21,Kentucky,09:  500+,2414,18235,818835,G,34496411,G
172,22,Louisiana,01:  Total,81117,104375,1687956,G,72069585,G
173,22,Louisiana,02:  0-4,43926,43975,78129,G,3027215,G
174,22,Louisiana,03:  5-9,15038,15186,98865,G,3218185,G
175,22,Louisiana,04:  10-19,9159,9673,122077,G,4171524,G
176,22,Louisiana,05:  <20,68123,68834,299071,G,10416924,G
177,22,Louisiana,06:  20-99,8675,11314,328581,G,12093514,G
178,22,Louisiana,07:  100-499,2125,5855,275629,G,11926457,G
179,22,Louisiana,08:  <500,78923,86003,903281,G,34436895,G
180,22,Louisiana,09:  500+,2194,18372,784675,G,37632690,G
181,23,Maine,01:  Total,33237,40257,487313,G,18739108,G
182,23,Maine,02:  0-4,20671,20700,31963,H,1159890,G
183,23,Maine,03:  5-9,5258,5324,34454,G,1080964,G
184,23,Maine,04:  10-19,3103,3258,41497,G,1316244,G
185,23,Maine,05:  <20,29032,29282,107914,G,3557098,G
186,23,Maine,06:  20-99,2542,3598,93935,G,3225944,G
187,23,Maine,07:  100-499,614,2237,77147,G,2949905,G
188,23,Maine,08:  <500,32188,35117,278996,G,9732947,G
189,23,Maine,09:  500+,1049,5140,208317,G,9006161,G
190,24,Maryland,01:  Total,108071,135421,2182260,G,108758652,G
191,24,Maryland,02:  0-4,62117,62193,104879,G,4500044,G
192,24,Maryland,03:  5-9,18304,18449,120283,G,4672552,G
193,24,Maryland,04:  10-19,11470,11946,152989,G,6251989,G
194,24,Maryland,05:  <20,91891,92588,378151,G,15424585,G
195,24,Maryland,06:  20-99,10681,13025,397424,G,17914532,G
196,24,Maryland,07:  100-499,2754,6657,326241,G,16136827,G
197,24,Maryland,08:  <500,105326,112270,1101816,G,49475944,G
198,24,Maryland,09:  500+,2745,23151,1080444,G,59282708,G
199,25,Massachusetts,01:  Total,139399,172534,3070703,G,178589899,G
200,25,Massachusetts,02:  0-4,81039,81134,136904,G,6630658,G
201,25,Massachusetts,03:  5-9,24097,24376,158347,G,6643418,G
202,25,Massachusetts,04:  10-19,14635,15214,194963,G,8697072,G
203,25,Massachusetts,05:  <20,119771,120724,490214,G,21971148,G
204,25,Massachusetts,06:  20-99,13093,15930,485565,G,24791567,G
205,25,Massachusetts,07:  100-499,3421,8766,447827,G,24870812,G
206,25,Massachusetts,08:  <500,136285,145420,1423606,G,71633527,G
207,25,Massachusetts,09:  500+,3114,27114,1647097,G,106956372,G
208,26,Michigan,01:  Total,172359,217494,3535685,G,156830488,G
209,26,Michigan,02:  0-4,99393,99494,166363,G,6449847,G
210,26,Michigan,03:  5-9,30986,31298,204251,G,6820932,G
211,26,Michigan,04:  10-19,18834,19791,252227,G,9038902,G
212,26,Michigan,05:  <20,149213,150583,622841,G,22309681,G
213,26,Michigan,06:  20-99,16237,21433,614797,G,24089546,G
214,26,Michigan,07:  100-499,3766,11363,537317,G,22915767,G
215,26,Michigan,08:  <500,169216,183379,1774955,G,69314994,G
216,26,Michigan,09:  500+,3143,34115,1760730,G,87515494,G
217,27,Minnesota,01:  Total,117503,146354,2518268,G,120890874,G
218,27,Minnesota,02:  0-4,70194,70254,107469,G,4369473,G
219,27,Minnesota,03:  5-9,18313,18504,120596,G,4153365,G
220,27,Minnesota,04:  10-19,12166,12825,162486,G,5659824,G
221,27,Minnesota,05:  <20,100673,101583,390551,G,14182662,G
222,27,Minnesota,06:  20-99,11306,14837,431760,G,16947194,G
223,27,Minnesota,07:  100-499,2854,8419,384511,G,16340937,G
224,27,Minnesota,08:  <500,114833,124839,1206822,G,47470793,G
225,27,Minnesota,09:  500+,2670,21515,1311446,G,73420081,G
226,28,Mississippi,01:  Total,44519,58435,902638,G,31697424,G
227,28,Mississippi,02:  0-4,24470,24492,44954,G,1372044,G
228,28,Mississippi,03:  5-9,8433,8529,55176,G,1513847,G
229,28,Mississippi,04:  10-19,4784,5094,63019,G,1863841,G
230,28,Mississippi,05:  <20,37687,38115,163149,G,4749732,G
231,28,Mississippi,06:  20-99,4022,5494,145267,G,4643122,G
232,28,Mississippi,07:  100-499,1107,3269,117157,G,4035818,G
233,28,Mississippi,08:  <500,42816,46878,425573,G,13428672,G
234,28,Mississippi,09:  500+,1703,11557,477065,G,18268752,G
235,29,Missouri,01:  Total,117319,150290,2355336,G,98487068,G
236,29,Missouri,02:  0-4,70761,70823,114945,G,3595629,G
237,29,Missouri,03:  5-9,18404,18572,120514,G,3789928,G
238,29,Missouri,04:  10-19,11779,12418,156562,G,5066635,G
239,29,Missouri,05:  <20,100944,101813,392021,G,12452192,G
240,29,Missouri,06:  20-99,10822,14607,402480,G,14322670,G
241,29,Missouri,07:  100-499,2654,7894,315682,G,12612726,G
242,29,Missouri,08:  <500,114420,124314,1110183,G,39387588,G
243,29,Missouri,09:  500+,2899,25976,1245153,G,59099480,G
244,30,Montana,01:  Total,31636,36529,350196,G,12446590,G
245,30,Montana,02:  0-4,20053,20065,31278,G,1041145,G
246,30,Montana,03:  5-9,5225,5264,34274,G,965235,G
247,30,Montana,04:  10-19,2884,3078,38546,G,1163882,G
248,30,Montana,05:  <20,28162,28407,104098,G,3170262,G
249,30,Montana,06:  20-99,2142,2910,74708,G,2342724,G
250,30,Montana,07:  100-499,499,1536,57129,G,2041152,G
251,30,Montana,08:  <500,30803,32853,235935,G,7554138,G
252,30,Montana,09:  500+,833,3676,114261,G,4892452,G
253,31,Nebraska,01:  Total,42189,52585,830073,G,33113578,G
254,31,Nebraska,02:  0-4,24631,24664,40880,H,1302331,G
255,31,Nebraska,03:  5-9,7036,7122,46192,G,1385378,G
256,31,Nebraska,04:  10-19,4227,4474,56068,G,1793324,G
257,31,Nebraska,05:  <20,35894,36260,143140,G,4481033,G
258,31,Nebraska,06:  20-99,3813,5287,137713,G,4847530,G
259,31,Nebraska,07:  100-499,1006,3182,113156,G,4386157,G
260,31,Nebraska,08:  <500,40713,44729,394009,G,13714720,G
261,31,Nebraska,09:  500+,1476,7856,436064,G,19398858,G
262,32,Nevada,01:  Total,48244,60306,1047657,G,41600674,G
