Id,Name,Description,250x250 Thumbnail,Full Size Thumbnail,Comics Available,ComicName0,ComicName1,ComicName2,ComicName3,ComicName4,ComicName5,ComicName6,ComicName7,ComicName8,ComicName9,ComicName10,ComicName11,ComicName12,ComicName13,ComicName14,ComicName15,ComicName16,ComicName17,ComicName18,ComicName19,ComicName20,Stories Available,Events Available,Series Available
1009379,Rick Jones,,http://i.annihil.us/u/prod/marvel/i/mg/2/e0/5274112b036ff/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/2/e0/5274112b036ff.jpg,31,Alias Omnibus (Hardcover),Avengers (1998) #1,Avengers (1998) #4,Avengers (1998) #26,Avengers (1998) #48,http://gateway.marvel.com/v1/public/comics/7352,Avengers (1963) #98,http://gateway.marvel.com/v1/public/comics/1311,Avengers Assemble (Hardcover),Avengers Assemble Vol. 3 (Hardcover),Avengers: The Kang Dynasty (Trade Paperback),Captain America (2004) #26,Captain America (1968) #110,Captain America: The Death of Captain America Vol. 1 (Trade Paperback),Captain America: The Death of Captain America Vol. 1 Premiere (Hardcover),Hulk: Future Imperfect (1992) #1,Hulk: Future Imperfect (1992) #2,Hulk: The End (Hardcover),Hulk: The End Premiere (Hardcover),Incredible Hulk (1962) #329,Incredible Hulk Annual (1968) #17,29,2,23
1015006,Rick Jones (Ultimate),,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1011348,Ricochet,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1009542,Rictor,,http://i.annihil.us/u/prod/marvel/i/mg/3/03/527414130f76d/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/3/03/527414130f76d.jpg,89,Cable (1993) #7,Cable (1993) #8,Essential X-Factor Vol. 2 (All-New Edition) (Trade Paperback),Marvel Weddings (Trade Paperback),New X-Men (Hardcover),http://gateway.marvel.com/v1/public/comics/14947,New X-Men (2001) #128,http://gateway.marvel.com/v1/public/comics/994,New X-Men Vol. III: New Worlds (Trade Paperback),Uncanny X-Men (1963) #270,Uncanny X-Men (1963) #271,Uncanny X-Men (1963) #272,Uncanny X-Men (1963) #273,Uncanny X-Men (1963) #294,Uncanny X-Men (1963) #295,Uncanny X-Men (1963) #304,What If? (1989) #37,X-Factor (2005) #1,X-Factor (1986) #17,X-Factor (1986) #18,X-Factor (1986) #19,96,5,19
1009543,Riptide,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,8,Uncanny X-Men (1963) #210,Uncanny X-Men (1963) #211,Uncanny X-Men (1963) #213,Uncanny X-Men (1963) #241,X-Men (1991) #34,http://gateway.marvel.com/v1/public/comics/41821,X-MEN FIRST CLASS: THE HIGH HAND (2011) #1,http://gateway.marvel.com/v1/public/comics/1032,X-Men: Mutant Massacre (Trade Paperback),X-Men: Old Soldiers (Trade Paperback),,,,,,,,,,,,6,2,5
1009544,Risque,,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c7c645aa1623/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/5/f0/4c7c645aa1623.jpg,12,Spider-Man 2099 (1992) #23,X-Force (1991) #51,X-Force (1991) #56,X-Force (1991) #57,X-Force (1991) #60,http://gateway.marvel.com/v1/public/comics/18033,X-Force (1991) #65,http://gateway.marvel.com/v1/public/comics/18037,X-Force (1991) #69,X-Force (1991) #74,X-Force (1991) #99,X-Force (1991) #100,X-Men: The Complete Onslaught Epic Book 2 (Trade Paperback),X-Men: The Complete Onslaught Epic Vol. 1 TPB (Trade Paperback),,,,,,,,10,1,4
1009545,Robbie Robertson,,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c003c50a94b7/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/4c003c50a94b7.jpg,10,Alias Omnibus (Hardcover),Amazing Spider-Man (1999) #580,Amazing Spider-Man (1999) #655 (2nd Printing Variant),Amazing Spider-Man Annual (1964) #5,Amazing Spider-Man Annual (1964) #15,http://gateway.marvel.com/v1/public/comics/16890,Amazing Spider-Man Annual (1964) #16,http://gateway.marvel.com/v1/public/comics/1879,Marvel Masterworks: The Amazing Spider-Man Vol. 7 - (Hardcover),New Avengers (2004) #15,New Avengers Vol. 3: Secrets & Lies (Trade Paperback),Soldier X (2002) #1,,,,,,,,,,8,0,7
1010792,Robert Baldwin,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1009235,Robin Chapel,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1010744,Rocket Raccoon,"A genetically-engineered alien with a knack for big guns and fast ships, Rocket serves as the backbone of the Guardians of the Galaxy!",http://i.annihil.us/u/prod/marvel/i/mg/9/b0/50fec1e49298a/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/9/b0/50fec1e49298a.jpg,23,Annihilation Classic (Hardcover),Annihilation: Conquest (2007) #6,Annihilation: Conquest - Starlord (2007) #2,Annihilators (2010) #1,Annihilators (2010) #2,http://gateway.marvel.com/v1/public/comics/38640,Annihilators (2010) #2 (DAVIS VARIANT),http://gateway.marvel.com/v1/public/comics/36646,Annihilators (2010) #3,Annihilators (2010) #3 (DJURDJEVIC VARIANT),Annihilators (2010) #4,Annihilators (2010) #4 (VARIANT),Annihilators: Earthfall (2011) #1,Annihilators: Earthfall (2011) #2,Annihilators: Earthfall (2011) #3,Guardians of the Galaxy (2013) #1,Guardians of the Galaxy (2013) #3,Guardians of the Galaxy (2008) #20,Rocket Raccoon (2014) #1,Rocket Raccoon (1985) #1,Rocket Raccoon (1985) #2,22,3,11
1017314,Rocket Raccoon (Marvel Heroes),,http://i.annihil.us/u/prod/marvel/i/mg/6/40/5239be52b8c32/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/6/40/5239be52b8c32.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1010769,Rocket Racer,,http://i.annihil.us/u/prod/marvel/i/mg/2/e0/4c0037551d8c2/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/2/e0/4c0037551d8c2.jpg,0,,,,,,,,,,,,,,,,,,,,,,0,0,0
1010692,Rockslide,,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available/standard_fantastic.jpg,http://i.annihil.us/u/prod/marvel/i/mg/b/40/image_not_available.jpg,11,Cable (2008) #22,New X-Men (2004) #25,New X-Men (2004) #34,New X-Men (2004) #44,New X-Men (2004) #44 (VARIANT),http://gateway.marvel.com/v1/public/comics/4767,New X-Men: Childhood's End Vol. 2 (Trade Paperback),http://gateway.marvel.com/v1/public/comics/13514,New X-Men: Childhood's End Vol. 4 (Trade Paperback),New X-Men: Hellions (2005),New X-Men: Hellions (2005) #1,Runaways (2008) #10,Wolverine & Jubilee (2010) #4,,,,,,,,,8,1,7
